3
sumW  sumStop
0.000000E+00 9.666667E-01 0.000000E+00
1.000000E+01 9.666667E-01 -2.220446E-17
2.000000E+01 9.666667E-01 3.330669E-17
3.000000E+01 9.666667E-01 -1.110223E-17
4.000000E+01 9.666667E-01 1.110223E-17
5.000000E+01 9.666667E-01 -1.110223E-17
6.000000E+01 9.666667E-01 -1.110223E-17
7.000000E+01 9.666667E-01 0.000000E+00
8.000000E+01 9.666667E-01 -2.220446E-17
9.000000E+01 9.666667E-01 1.110223E-17
1.000000E+02 9.666667E-01 1.110223E-17
1.100000E+02 9.666667E-01 -5.551115E-17
1.210000E+02 9.666667E-01 3.027881E-17
1.320000E+02 9.666667E-01 2.018587E-17
1.430000E+02 9.666667E-01 -3.027881E-17
1.540000E+02 9.666667E-01 0.000000E+00
1.650000E+02 9.666667E-01 6.055762E-17
1.760000E+02 9.666667E-01 -5.046468E-17
1.870000E+02 9.666667E-01 3.027881E-17
1.980000E+02 9.666667E-01 -3.027881E-17
2.090000E+02 9.666667E-01 2.018587E-17
2.200000E+02 9.666667E-01 -2.018587E-17
2.310000E+02 9.666667E-01 1.009294E-17
2.431000E+02 9.666667E-01 9.175397E-18
2.552000E+02 9.666667E-01 -2.752619E-17
2.673000E+02 9.666667E-01 2.752619E-17
2.794000E+02 9.666667E-01 -1.835079E-17
2.915000E+02 9.666667E-01 9.175397E-18
3.036000E+02 9.666667E-01 3.670159E-17
3.157000E+02 9.666667E-01 -2.752619E-17
3.278000E+02 9.666667E-01 -9.175397E-18
3.399000E+02 9.666667E-01 -9.175397E-18
3.520000E+02 9.666667E-01 -2.752619E-17
3.641000E+02 9.666667E-01 3.670159E-17
3.774100E+02 9.666667E-01 -8.341270E-18
3.907200E+02 9.666667E-01 0.000000E+00
4.040300E+02 9.666667E-01 8.341270E-18
4.173400E+02 9.666667E-01 -8.341270E-18
4.306500E+02 9.666667E-01 -8.341270E-18
4.439600E+02 9.666667E-01 -8.341270E-18
4.572700E+02 9.666667E-01 -8.341270E-18
4.705800E+02 9.666667E-01 0.000000E+00
4.838900E+02 9.666667E-01 4.170635E-17
4.972000E+02 9.666667E-01 -8.341270E-18
5.105100E+02 9.666667E-01 2.502381E-17
5.251510E+02 9.666667E-01 -3.033189E-17
5.397920E+02 9.666667E-01 1.516595E-17
5.544330E+02 9.666667E-01 -7.582973E-18
5.690740E+02 9.666667E-01 7.582973E-18
5.837150E+02 9.666667E-01 2.274892E-17
5.983560E+02 9.666667E-01 1.516595E-17
6.129970E+02 9.666667E-01 -5.308081E-17
6.276380E+02 9.666667E-01 7.582973E-18
6.422790E+02 9.666667E-01 0.000000E+00
6.569200E+02 9.666667E-01 7.582973E-18
6.715610E+02 9.666667E-01 -7.582973E-18
6.876661E+02 9.666667E-01 0.000000E+00
7.037712E+02 9.666667E-01 6.893611E-18
7.198763E+02 9.666667E-01 2.757445E-17
7.359814E+02 9.666667E-01 -3.446806E-17
7.520865E+02 9.666667E-01 -4.825528E-17
7.681916E+02 9.666667E-01 2.068083E-17
7.842967E+02 9.666667E-01 2.757445E-17
8.004018E+02 9.666667E-01 0.000000E+00
8.165069E+02 9.666667E-01 0.000000E+00
8.326120E+02 9.666667E-01 -6.893611E-18
8.487171E+02 9.666667E-01 1.378722E-17
8.664327E+02 9.666667E-01 -1.880076E-17
