3
sumW  sumStop
0.000000E+00 9.666667E-01 0.000000E+00
1.000000E-01 9.666667E-01 4.773959E-14
2.000000E-01 9.666667E-01 2.997602E-14
3.000000E-01 9.666667E-01 3.552714E-14
4.000000E-01 9.666667E-01 -1.554312E-14
5.000000E-01 9.666667E-01 2.220446E-15
6.000000E-01 9.666667E-01 0.000000E+00
7.000000E-01 9.666667E-01 1.332268E-14
8.000000E-01 9.666667E-01 -5.551115E-15
9.000000E-01 9.666667E-01 0.000000E+00
1.000000E+00 9.666667E-01 -5.551115E-15
1.100000E+00 9.666667E-01 -6.661338E-15
1.210000E+00 9.666667E-01 -4.037175E-15
1.320000E+00 9.666667E-01 -2.018587E-15
1.430000E+00 9.666667E-01 -3.027881E-15
1.540000E+00 9.666667E-01 -3.027881E-15
1.650000E+00 9.666667E-01 7.065056E-15
1.760000E+00 9.666667E-01 -1.211152E-14
1.870000E+00 9.666667E-01 -1.009294E-15
1.980000E+00 9.666667E-01 2.018587E-15
2.090000E+00 9.666667E-01 -2.119517E-14
2.200000E+00 9.666667E-01 8.074349E-15
2.310000E+00 9.666667E-01 -1.009294E-14
2.431000E+00 9.666667E-01 1.284556E-14
2.552000E+00 9.666667E-01 2.752619E-15
2.673000E+00 9.666667E-01 9.175397E-16
2.794000E+00 9.666667E-01 -6.422778E-15
2.915000E+00 9.666667E-01 5.505238E-15
3.036000E+00 9.666667E-01 0.000000E+00
3.157000E+00 9.666667E-01 3.670159E-15
3.278000E+00 9.666667E-01 -1.835079E-15
3.399000E+00 9.666667E-01 -4.587698E-15
3.520000E+00 9.666667E-01 1.468064E-14
3.641000E+00 9.666667E-01 1.101048E-14
3.774100E+00 9.666667E-01 -1.084365E-14
3.907200E+00 9.666667E-01 2.502381E-15
4.040300E+00 9.666667E-01 0.000000E+00
4.173400E+00 9.666667E-01 8.341270E-16
4.306500E+00 9.666667E-01 1.000952E-14
4.439600E+00 9.666667E-01 -1.668254E-15
4.572700E+00 9.666667E-01 -3.336508E-15
4.705800E+00 9.666667E-01 5.838889E-15
4.838900E+00 9.666667E-01 1.668254E-15
4.972000E+00 9.666667E-01 8.341270E-15
5.105100E+00 9.666667E-01 5.838889E-15
5.251510E+00 9.666667E-01 1.516595E-15
5.397920E+00 9.666667E-01 1.516595E-15
5.544330E+00 9.666667E-01 -7.582973E-16
5.690740E+00 9.666667E-01 1.440765E-14
5.837150E+00 9.666667E-01 9.099567E-15
5.983560E+00 9.666667E-01 -1.668254E-14
6.129970E+00 9.666667E-01 -5.308081E-15
6.276380E+00 9.666667E-01 5.308081E-15
6.422790E+00 9.666667E-01 6.824675E-15
6.569200E+00 9.666667E-01 2.867122E-12
6.715610E+00 9.666667E-01 2.835273E-12
6.876661E+00 9.666667E-01 6.204250E-15
7.037712E+00 9.666667E-01 2.068083E-15
7.198763E+00 9.666667E-01 2.274892E-14
7.359814E+00 9.666667E-01 1.378722E-15
7.520865E+00 9.666667E-01 -6.893611E-16
7.681916E+00 9.666667E-01 3.737027E-12
7.842967E+00 9.666667E-01 3.706695E-12
8.004018E+00 9.666667E-01 3.670159E-12
8.165069E+00 9.666667E-01 3.651546E-12
8.326120E+00 9.666667E-01 3.608116E-12
8.487171E+00 9.666667E-01 3.579852E-12
8.664327E+00 9.666667E-01 1.378722E-14
8.841483E+00 9.666667E-01 4.960267E-12
9.018639E+00 9.666667E-01 4.945853E-12
9.195795E+00 9.666667E-01 4.885690E-12
9.372952E+00 9.666667E-01 4.871903E-12
9.550108E+00 9.666667E-01 4.824901E-12
9.727264E+00 9.666667E-01 4.809234E-12
9.904420E+00 9.666667E-01 4.771006E-12
1.008158E+01 9.666667E-01 4.747192E-12
1.025873E+01 9.666667E-01 4.726511E-12
1.043589E+01 9.666667E-01 4.698310E-12
1.063076E+01 9.666667E-01 6.567162E-12
1.082563E+01 9.666667E-01 6.539246E-12
1.102050E+01 9.666667E-01 6.509620E-12
1.121537E+01 9.666667E-01 6.472019E-12
1.141025E+01 9.666667E-01 6.453788E-12
1.160512E+01 9.666667E-01 6.415047E-12
1.179999E+01 9.666667E-01 6.394537E-12
1.199486E+01 9.666667E-01 6.373457E-12
1.218973E+01 9.666667E-01 6.342692E-12
1.238461E+01 9.666667E-01 6.339274E-12
1.257948E+01 9.666667E-01 6.306800E-12
1.279384E+01 9.666667E-01 8.818747E-12
1.300819E+01 9.666667E-01 8.801655E-12
1.322255E+01 9.666667E-01 8.754524E-12
1.343691E+01 9.666667E-01 8.756596E-12
1.365127E+01 9.666667E-01 8.712054E-12
1.386563E+01 9.666667E-01 8.707393E-12
1.407999E+01 9.666667E-01 8.670102E-12
1.429435E+01 9.666667E-01 8.669584E-12
1.450871E+01 9.666667E-01 8.648867E-12
1.472307E+01 9.666667E-01 8.615202E-12
1.493742E+01 9.666667E-01 8.619863E-12
1.517322E+01 9.666667E-01 1.202580E-11
1.540901E+01 9.666667E-01 1.201167E-11
1.564481E+01 9.666667E-01 1.200226E-11
1.588060E+01 9.666667E-01 1.196930E-11
1.611640E+01 9.666667E-01 1.196365E-11
1.635219E+01 9.666667E-01 1.194811E-11
1.658799E+01 9.666667E-01 1.194529E-11
1.682378E+01 9.666667E-01 1.192174E-11
1.705958E+01 9.666667E-01 1.191233E-11
1.729537E+01 9.666667E-01 1.191233E-11
1.753117E+01 9.666667E-01 1.189161E-11
1.779054E+01 9.666667E-01 5.179272E-14
1.804992E+01 9.666667E-01 1.660663E-11
1.830929E+01 9.666667E-01 1.659037E-11
1.856866E+01 9.666667E-01 1.658694E-11
1.882804E+01 9.666667E-01 1.658480E-11
1.908741E+01 9.666667E-01 1.657581E-11
1.934679E+01 9.666667E-01 1.658266E-11
1.960616E+01 9.666667E-01 1.658951E-11
1.986554E+01 9.666667E-01 1.658009E-11
2.012491E+01 9.666667E-01 1.658309E-11
2.038428E+01 9.666667E-01 1.659293E-11
2.066960E+01 9.666667E-01 8.716431E-14
2.095491E+01 9.666667E-01 8.482955E-14
2.124022E+01 9.666667E-01 9.027732E-14
2.152553E+01 9.666667E-01 8.755344E-14
2.181084E+01 9.666667E-01 2.319621E-11
2.209615E+01 9.666667E-01 2.321256E-11
2.238147E+01 9.666667E-01 2.323824E-11
2.266678E+01 9.666667E-01 2.325303E-11
2.295209E+01 9.666667E-01 2.326859E-11
2.323740E+01 9.666667E-01 2.329388E-11
2.352271E+01 9.666667E-01 2.332112E-11
2.383655E+01 9.666667E-01 1.429155E-13
2.415040E+01 9.666667E-01 1.400855E-13
2.446424E+01 9.666667E-01 1.411468E-13
2.477808E+01 9.666667E-01 1.475143E-13
2.509193E+01 9.666667E-01 1.397318E-13
2.540577E+01 9.666667E-01 1.397318E-13
2.571961E+01 9.666667E-01 1.393780E-13
2.603345E+01 9.666667E-01 3.282670E-11
2.634730E+01 9.666667E-01 3.286066E-11
2.666114E+01 9.666667E-01 3.291974E-11
2.697498E+01 9.666667E-01 3.298766E-11
2.732021E+01 9.666667E-01 2.209337E-13
2.766544E+01 9.666667E-01 2.183610E-13
2.801066E+01 9.666667E-01 2.299383E-13
2.835589E+01 9.666667E-01 2.289735E-13
2.870112E+01 9.666667E-01 2.119292E-13
2.904635E+01 9.666667E-01 2.328327E-13
2.939157E+01 9.666667E-01 2.225417E-13
2.973680E+01 9.666667E-01 2.286520E-13
3.008203E+01 9.666667E-01 2.244713E-13
3.042725E+01 9.666667E-01 2.418372E-13
3.077248E+01 9.666667E-01 4.689648E-11
3.115223E+01 9.666667E-01 3.540436E-13
3.153198E+01 9.666667E-01 3.636914E-13
3.191173E+01 9.666667E-01 3.560901E-13
3.229148E+01 9.666667E-01 3.636914E-13
3.267123E+01 9.666667E-01 3.686614E-13
3.305098E+01 9.666667E-01 3.666150E-13
3.343073E+01 9.666667E-01 3.762627E-13
3.381048E+01 9.666667E-01 3.648608E-13
3.419023E+01 9.666667E-01 3.759704E-13
3.456998E+01 9.666667E-01 3.780169E-13
3.494973E+01 9.666667E-01 3.777245E-13
3.536745E+01 9.666667E-01 5.828524E-13
3.578518E+01 9.666667E-01 5.913573E-13
3.620290E+01 9.666667E-01 5.873706E-13
3.662063E+01 9.666667E-01 5.969387E-13
3.703835E+01 9.666667E-01 5.974702E-13
3.745608E+01 9.666667E-01 6.001280E-13
3.787380E+01 9.666667E-01 6.054436E-13
3.829153E+01 9.666667E-01 6.107591E-13
3.870925E+01 9.666667E-01 6.126196E-13
3.912698E+01 9.666667E-01 6.152774E-13
3.954470E+01 9.666667E-01 6.237823E-13
4.000420E+01 9.666667E-01 9.536618E-13
4.046370E+01 9.666667E-01 9.628433E-13
4.092319E+01 9.666667E-01 9.669507E-13
4.138269E+01 9.666667E-01 9.741992E-13
4.184219E+01 9.666667E-01 9.802397E-13
4.230169E+01 9.666667E-01 9.899043E-13
4.276118E+01 9.666667E-01 9.896627E-13
4.322068E+01 9.666667E-01 1.013100E-12
4.368018E+01 9.666667E-01 9.969112E-13
4.413968E+01 9.666667E-01 1.019623E-12
4.459917E+01 9.666667E-01 1.016482E-12
4.510462E+01 9.666667E-01 1.573585E-12
4.561007E+01 9.666667E-01 1.578856E-12
4.611551E+01 9.666667E-01 1.595770E-12
4.662096E+01 9.666667E-01 1.610486E-12
4.712641E+01 9.666667E-01 1.615758E-12
4.763186E+01 9.666667E-01 1.631793E-12
4.813730E+01 9.666667E-01 1.642775E-12
4.864275E+01 9.666667E-01 1.652220E-12
4.914820E+01 9.666667E-01 1.671549E-12
4.965364E+01 9.666667E-01 1.676821E-12
5.015909E+01 9.666667E-01 1.693515E-12
5.071508E+01 9.666667E-01 2.604271E-12
5.127107E+01 9.666667E-01 2.623041E-12
5.182707E+01 9.666667E-01 2.650397E-12
5.238306E+01 9.666667E-01 2.666172E-12
5.293905E+01 9.666667E-01 2.694128E-12
5.349504E+01 9.666667E-01 2.711900E-12
5.405103E+01 9.666667E-01 2.740654E-12
5.460702E+01 9.666667E-01 2.756230E-12
5.516302E+01 9.666667E-01 2.784984E-12
5.571901E+01 9.666667E-01 2.803155E-12
5.627500E+01 9.666667E-01 2.834505E-12
5.688659E+01 9.666667E-01 4.345655E-12
5.749818E+01 9.666667E-01 4.393216E-12
5.810977E+01 9.666667E-01 4.427162E-12
5.872136E+01 9.666667E-01 4.469458E-12
5.933295E+01 9.666667E-01 4.514841E-12
5.994454E+01 9.666667E-01 4.556956E-12
6.055614E+01 9.666667E-01 4.597437E-12
6.116773E+01 9.666667E-01 4.642275E-12
6.177932E+01 9.666667E-01 4.687295E-12
6.239091E+01 9.666667E-01 4.731407E-12
6.300250E+01 9.666667E-01 4.776789E-12
6.367525E+01 9.666667E-01 7.327555E-12
6.434800E+01 9.666667E-01 7.401487E-12
6.502075E+01 9.666667E-01 7.482350E-12
6.569350E+01 9.666667E-01 7.562719E-12
6.636625E+01 9.666667E-01 7.641107E-12
6.703900E+01 9.666667E-01 7.722796E-12
6.771175E+01 9.666667E-01 7.804484E-12
