3
sumW  sumStop
0.000000E+00 9.666667E-01 0.000000E+00
1.000000E-01 9.666667E-01 0.000000E+00
2.000000E-01 9.666667E-01 4.440892E-15
3.000000E-01 9.666667E-01 -2.220446E-15
4.000000E-01 9.666667E-01 2.109424E-14
5.000000E-01 9.666667E-01 6.661338E-15
6.000000E-01 9.666667E-01 9.992007E-15
7.000000E-01 9.666667E-01 -1.110223E-15
8.000000E-01 9.666667E-01 1.443290E-14
9.000000E-01 9.666667E-01 3.330669E-15
1.000000E+00 9.666667E-01 -3.330669E-15
1.100000E+00 9.666667E-01 1.221245E-14
1.200000E+00 9.666667E-01 1.110223E-14
1.300000E+00 9.666667E-01 2.220446E-15
1.400000E+00 9.666667E-01 1.332268E-14
1.500000E+00 9.666667E-01 9.992007E-15
1.600000E+00 9.666667E-01 1.110223E-14
1.700000E+00 9.666667E-01 -2.220446E-15
1.800000E+00 9.666667E-01 1.332268E-14
1.900000E+00 9.666667E-01 3.330669E-15
2.000000E+00 9.666667E-01 1.110223E-14
2.100000E+00 9.666667E-01 1.776357E-14
2.200000E+00 9.666667E-01 5.995204E-14
2.300000E+00 9.666667E-01 4.218847E-14
2.400000E+00 9.666667E-01 6.550316E-14
2.500000E+00 9.666667E-01 5.218048E-14
2.600000E+00 9.666667E-01 4.662937E-14
2.700000E+00 9.666667E-01 4.662937E-14
2.800000E+00 9.666667E-01 2.886580E-14
2.900000E+00 9.666667E-01 5.329071E-14
3.000000E+00 9.666667E-01 4.996004E-14
3.100000E+00 9.666667E-01 2.553513E-14
3.200000E+00 9.666667E-01 4.551914E-14
3.300000E+00 9.666667E-01 3.885781E-14
3.400000E+00 9.666667E-01 4.440892E-14
3.500000E+00 9.666667E-01 3.885781E-14
3.600000E+00 9.666667E-01 1.221245E-14
3.700000E+00 9.666667E-01 4.440892E-14
3.800000E+00 9.666667E-01 1.554312E-14
3.900000E+00 9.666667E-01 4.884981E-14
4.000000E+00 9.666667E-01 6.661338E-15
4.100000E+00 9.666667E-01 4.107825E-14
4.200000E+00 9.666667E-01 3.663736E-14
4.300000E+00 9.666667E-01 2.997602E-14
4.400000E+00 9.666667E-01 3.330669E-14
4.500000E+00 9.666667E-01 1.332268E-14
4.600000E+00 9.666667E-01 2.664535E-14
4.700000E+00 9.666667E-01 3.552714E-14
4.800000E+00 9.666667E-01 2.664535E-14
4.900000E+00 9.666667E-01 1.887379E-14
5.000000E+00 9.666667E-01 3.441691E-14
5.100000E+00 9.666667E-01 5.551115E-15
5.200000E+00 9.666667E-01 2.109424E-14
5.300000E+00 9.666667E-01 4.107825E-14
5.400000E+00 9.666667E-01 1.221245E-14
5.500000E+00 9.666667E-01 1.887379E-14
5.600000E+00 9.666667E-01 3.219647E-14
5.700000E+00 9.666667E-01 3.330669E-14
5.800000E+00 9.666667E-01 8.881784E-15
5.900000E+00 9.666667E-01 2.553513E-14
6.000000E+00 9.666667E-01 3.441691E-14
6.100000E+00 9.666667E-01 1.887379E-14
6.200000E+00 9.666667E-01 1.332268E-14
6.300000E+00 9.666667E-01 1.221245E-14
6.400000E+00 9.666667E-01 2.331468E-14
6.500000E+00 9.666667E-01 3.552714E-14
6.600000E+00 9.666667E-01 6.661338E-15
6.700000E+00 9.666667E-01 1.887379E-14
6.800000E+00 9.666667E-01 2.553513E-14
6.900000E+00 9.666667E-01 3.219647E-14
7.000000E+00 9.666667E-01 -3.330669E-15
7.100000E+00 9.666667E-01 2.775558E-14
7.200000E+00 9.666667E-01 7.771561E-15
7.300000E+00 9.666667E-01 3.219647E-14
7.400000E+00 9.666667E-01 1.332268E-14
7.500000E+00 9.666667E-01 2.664535E-14
7.600000E+00 9.666667E-01 1.332268E-14
7.700000E+00 9.666667E-01 1.887379E-14
7.800000E+00 9.666667E-01 1.443290E-14
7.900000E+00 9.666667E-01 3.219647E-14
