3
sumW  sumStop
0.000000E+00 1.000000E+00 0.000000E+00
1.000000E-01 1.000000E+00 -7.771561E-15
2.000000E-01 1.000000E+00 -1.110223E-14
3.000000E-01 1.000000E+00 -8.881784E-15
4.000000E-01 1.000000E+00 -1.332268E-14
5.000000E-01 1.000000E+00 -8.881784E-15
6.000000E-01 1.000000E+00 -1.332268E-14
7.000000E-01 1.000000E+00 -1.110223E-14
8.000000E-01 1.000000E+00 -1.110223E-14
9.000000E-01 1.000000E+00 -6.661338E-15
1.000000E+00 1.000000E+00 -1.110223E-14
1.100000E+00 1.000000E+00 -1.332268E-14
1.200000E+00 1.000000E+00 -1.110223E-14
1.300000E+00 1.000000E+00 -8.881784E-15
1.400000E+00 1.000000E+00 -8.881784E-15
1.500000E+00 1.000000E+00 -8.881784E-15
1.600000E+00 1.000000E+00 -6.661338E-15
1.700000E+00 1.000000E+00 -1.110223E-14
1.800000E+00 1.000000E+00 -6.661338E-15
1.900000E+00 1.000000E+00 -8.881784E-15
2.000000E+00 1.000000E+00 -8.881784E-15
2.100000E+00 1.000000E+00 -4.440892E-15
2.200000E+00 1.000000E+00 -8.881784E-15
2.300000E+00 1.000000E+00 -4.440892E-15
2.400000E+00 1.000000E+00 -1.110223E-14
2.500000E+00 1.000000E+00 -4.440892E-15
2.600000E+00 1.000000E+00 -6.661338E-15
2.700000E+00 1.000000E+00 -6.661338E-15
2.800000E+00 1.000000E+00 -8.881784E-15
2.900000E+00 1.000000E+00 -4.440892E-15
3.000000E+00 1.000000E+00 -4.440892E-15
3.100000E+00 1.000000E+00 -6.661338E-15
3.200000E+00 1.000000E+00 -1.110223E-14
3.300000E+00 1.000000E+00 -2.220446E-15
3.400000E+00 1.000000E+00 -6.661338E-15
3.500000E+00 1.000000E+00 -4.440892E-15
3.600000E+00 1.000000E+00 -4.440892E-15
3.700000E+00 1.000000E+00 -6.661338E-15
3.800000E+00 1.000000E+00 -1.332268E-14
3.900000E+00 1.000000E+00 4.440892E-15
4.000000E+00 1.000000E+00 -8.881784E-15
4.100000E+00 1.000000E+00 -4.440892E-15
4.200000E+00 1.000000E+00 -6.661338E-15
4.300000E+00 1.000000E+00 -2.220446E-15
4.400000E+00 1.000000E+00 -6.661338E-15
4.500000E+00 1.000000E+00 -2.220446E-15
4.600000E+00 1.000000E+00 -2.220446E-15
4.700000E+00 1.000000E+00 -6.661338E-15
4.800000E+00 1.000000E+00 -4.440892E-15
4.900000E+00 1.000000E+00 -4.440892E-15
5.000000E+00 1.000000E+00 -4.440892E-15
5.100000E+00 1.000000E+00 -4.440892E-15
5.200000E+00 1.000000E+00 -8.881784E-15
5.300000E+00 1.000000E+00 -2.220446E-15
5.400000E+00 1.000000E+00 -4.440892E-15
5.500000E+00 1.000000E+00 -2.220446E-15
5.600000E+00 1.000000E+00 0.000000E+00
5.700000E+00 1.000000E+00 -2.220446E-15
5.800000E+00 1.000000E+00 -1.332268E-14
5.900000E+00 1.000000E+00 -2.220446E-15
6.000000E+00 1.000000E+00 -2.220446E-15
6.100000E+00 1.000000E+00 4.440892E-15
6.200000E+00 1.000000E+00 -1.110223E-14
6.300000E+00 1.000000E+00 -2.220446E-15
6.400000E+00 1.000000E+00 -2.220446E-15
6.500000E+00 1.000000E+00 -2.220446E-15
6.600000E+00 1.000000E+00 -1.332268E-14
6.700000E+00 1.000000E+00 0.000000E+00
6.800000E+00 1.000000E+00 2.220446E-15
6.900000E+00 1.000000E+00 -6.661338E-15
7.000000E+00 1.000000E+00 -4.440892E-15
7.100000E+00 1.000000E+00 -2.220446E-15
7.200000E+00 1.000000E+00 -2.220446E-15
7.300000E+00 1.000000E+00 2.220446E-15
7.400000E+00 1.000000E+00 -1.110223E-14
7.500000E+00 1.000000E+00 0.000000E+00
7.600000E+00 1.000000E+00 -4.440892E-15
7.700000E+00 1.000000E+00 2.220446E-15
7.800000E+00 1.000000E+00 -6.661338E-15
7.900000E+00 1.000000E+00 -2.220446E-15
8.000000E+00 1.000000E+00 0.000000E+00
8.100000E+00 1.000000E+00 -6.661338E-15
8.200000E+00 1.000000E+00 0.000000E+00
8.300000E+00 1.000000E+00 -2.220446E-15
8.400000E+00 1.000000E+00 -2.220446E-15
8.500000E+00 1.000000E+00 -8.881784E-15
8.600000E+00 1.000000E+00 0.000000E+00
8.700000E+00 1.000000E+00 4.440892E-15
8.800000E+00 1.000000E+00 -8.881784E-15
8.900000E+00 1.000000E+00 -2.220446E-15
9.000000E+00 1.000000E+00 -2.220446E-15
9.100000E+00 1.000000E+00 0.000000E+00
9.200000E+00 1.000000E+00 -2.220446E-15
9.300000E+00 1.000000E+00 -1.110223E-14
9.400000E+00 1.000000E+00 6.661338E-15
9.500000E+00 1.000000E+00 -2.220446E-15
9.600000E+00 1.000000E+00 -4.440892E-15
9.700000E+00 1.000000E+00 -2.220446E-15
9.800000E+00 1.000000E+00 -6.661338E-15
9.900000E+00 1.000000E+00 0.000000E+00
1.000000E+01 1.000000E+00 -4.440892E-15
1.010000E+01 1.000000E+00 0.000000E+00
1.020000E+01 1.000000E+00 -2.220446E-15
1.030000E+01 1.000000E+00 2.220446E-15
1.040000E+01 1.000000E+00 -4.440892E-15
1.050000E+01 1.000000E+00 -6.661338E-15
1.060000E+01 1.000000E+00 6.661338E-15
1.070000E+01 1.000000E+00 -6.661338E-15
1.080000E+01 1.000000E+00 2.220446E-15
1.090000E+01 1.000000E+00 -6.661338E-15
1.100000E+01 1.000000E+00 0.000000E+00
1.110000E+01 1.000000E+00 4.440892E-15
1.120000E+01 1.000000E+00 -2.220446E-15
1.130000E+01 1.000000E+00 -8.881784E-15
1.140000E+01 1.000000E+00 -2.220446E-15
1.150000E+01 1.000000E+00 2.220446E-15
1.160000E+01 1.000000E+00 0.000000E+00
1.170000E+01 1.000000E+00 -8.881784E-15
1.180000E+01 1.000000E+00 2.220446E-15
1.190000E+01 1.000000E+00 -4.440892E-15
1.200000E+01 1.000000E+00 0.000000E+00
1.210000E+01 1.000000E+00 2.220446E-15
1.220000E+01 1.000000E+00 -6.661338E-15
1.230000E+01 1.000000E+00 -4.440892E-15
1.240000E+01 1.000000E+00 2.220446E-15
1.250000E+01 1.000000E+00 0.000000E+00
1.260000E+01 1.000000E+00 -6.661338E-15
1.270000E+01 1.000000E+00 4.440892E-15
1.280000E+01 1.000000E+00 0.000000E+00
1.290000E+01 1.000000E+00 -2.220446E-15
1.300000E+01 1.000000E+00 -2.220446E-15
1.310000E+01 1.000000E+00 4.440892E-15
1.320000E+01 1.000000E+00 -8.881784E-15
1.330000E+01 1.000000E+00 2.220446E-15
1.340000E+01 1.000000E+00 -2.220446E-15
1.350000E+01 1.000000E+00 -2.220446E-15
1.360000E+01 1.000000E+00 0.000000E+00
1.370000E+01 1.000000E+00 -2.220446E-15
1.380000E+01 1.000000E+00 0.000000E+00
1.390000E+01 1.000000E+00 -2.220446E-15
1.400000E+01 1.000000E+00 0.000000E+00
1.410000E+01 1.000000E+00 -6.661338E-15
1.420000E+01 1.000000E+00 2.220446E-15
1.430000E+01 1.000000E+00 4.440892E-15
1.440000E+01 1.000000E+00 -4.440892E-15
1.450000E+01 1.000000E+00 2.220446E-15
1.460000E+01 1.000000E+00 -6.661338E-15
1.470000E+01 1.000000E+00 0.000000E+00
1.480000E+01 1.000000E+00 0.000000E+00
1.490000E+01 1.000000E+00 -8.881784E-15
1.500000E+01 1.000000E+00 8.881784E-15
1.510000E+01 1.000000E+00 -6.661338E-15
1.520000E+01 1.000000E+00 0.000000E+00
1.530000E+01 1.000000E+00 -2.220446E-15
1.540000E+01 1.000000E+00 4.440892E-15
1.550000E+01 1.000000E+00 -2.220446E-15
1.560000E+01 1.000000E+00 -2.220446E-15
1.570000E+01 1.000000E+00 0.000000E+00
1.580000E+01 1.000000E+00 -2.220446E-15
1.590000E+01 1.000000E+00 -2.220446E-15
1.600000E+01 1.000000E+00 0.000000E+00
1.610000E+01 1.000000E+00 4.440892E-15
1.620000E+01 1.000000E+00 -2.220446E-15
1.630000E+01 1.000000E+00 -6.661338E-15
1.640000E+01 1.000000E+00 6.661338E-15
1.650000E+01 1.000000E+00 0.000000E+00
1.660000E+01 1.000000E+00 -6.661338E-15
1.670000E+01 1.000000E+00 6.661338E-15
1.680000E+01 1.000000E+00 -4.440892E-15
1.690000E+01 1.000000E+00 -4.440892E-15
1.700000E+01 1.000000E+00 2.220446E-15
1.710000E+01 1.000000E+00 -6.661338E-15
1.720000E+01 1.000000E+00 6.661338E-15
1.730000E+01 1.000000E+00 4.440892E-15
1.740000E+01 1.000000E+00 -1.110223E-14
1.750000E+01 1.000000E+00 -2.220446E-15
1.760000E+01 1.000000E+00 6.661338E-15
1.770000E+01 1.000000E+00 2.220446E-15
1.780000E+01 1.000000E+00 -4.440892E-15
1.790000E+01 1.000000E+00 0.000000E+00
1.800000E+01 1.000000E+00 -6.661338E-15
1.810000E+01 1.000000E+00 4.440892E-15
1.820000E+01 1.000000E+00 -2.220446E-15
1.830000E+01 1.000000E+00 0.000000E+00
1.840000E+01 1.000000E+00 0.000000E+00
1.850000E+01 1.000000E+00 -2.220446E-15
1.860000E+01 1.000000E+00 -4.440892E-15
1.870000E+01 1.000000E+00 0.000000E+00
1.880000E+01 1.000000E+00 0.000000E+00
1.890000E+01 1.000000E+00 8.881784E-15
1.900000E+01 1.000000E+00 -6.661338E-15
1.910000E+01 1.000000E+00 8.881784E-15
1.920000E+01 1.000000E+00 -8.881784E-15
1.930000E+01 1.000000E+00 -2.220446E-15
1.940000E+01 1.000000E+00 2.220446E-15
1.950000E+01 1.000000E+00 2.220446E-15
1.960000E+01 1.000000E+00 -2.220446E-15
1.970000E+01 1.000000E+00 -2.220446E-15
1.980000E+01 1.000000E+00 -4.440892E-15
1.990000E+01 1.000000E+00 4.440892E-15
2.000000E+01 1.000000E+00 -4.440892E-15
2.010000E+01 1.000000E+00 0.000000E+00
2.020000E+01 1.000000E+00 0.000000E+00
2.030000E+01 1.000000E+00 6.661338E-15
2.040000E+01 1.000000E+00 -8.881784E-15
2.050000E+01 1.000000E+00 0.000000E+00
2.060000E+01 1.000000E+00 6.661338E-15
2.070000E+01 1.000000E+00 -1.110223E-14
2.080000E+01 1.000000E+00 8.881784E-15
2.090000E+01 1.000000E+00 -1.110223E-14
2.100000E+01 1.000000E+00 4.440892E-15
2.110000E+01 1.000000E+00 2.220446E-15
2.120000E+01 1.000000E+00 -1.110223E-14
2.130000E+01 1.000000E+00 1.332268E-14
2.140000E+01 1.000000E+00 -2.220446E-15
2.150000E+01 1.000000E+00 6.661338E-15
2.160000E+01 1.000000E+00 -2.220446E-15
2.170000E+01 1.000000E+00 0.000000E+00
2.180000E+01 1.000000E+00 -2.220446E-15
2.190000E+01 1.000000E+00 0.000000E+00
2.200000E+01 1.000000E+00 -4.440892E-15
2.210000E+01 1.000000E+00 0.000000E+00
2.220000E+01 1.000000E+00 4.440892E-15
2.230000E+01 1.000000E+00 -8.881784E-15
2.240000E+01 1.000000E+00 2.220446E-15
2.250000E+01 1.000000E+00 2.220446E-15
2.260000E+01 1.000000E+00 -4.440892E-15
2.270000E+01 1.000000E+00 0.000000E+00
2.280000E+01 1.000000E+00 6.661338E-15
2.290000E+01 1.000000E+00 -4.440892E-15
2.300000E+01 1.000000E+00 -2.220446E-15
2.310000E+01 1.000000E+00 4.440892E-15
2.320000E+01 1.000000E+00 -4.440892E-15
2.330000E+01 1.000000E+00 8.881784E-15
2.340000E+01 1.000000E+00 -6.661338E-15
2.350000E+01 1.000000E+00 4.440892E-15
2.360000E+01 1.000000E+00 -2.220446E-15
2.370000E+01 1.000000E+00 -8.881784E-15
2.380000E+01 1.000000E+00 8.881784E-15
2.390000E+01 1.000000E+00 2.220446E-15
2.400000E+01 1.000000E+00 -6.661338E-15
2.410000E+01 1.000000E+00 4.440892E-15
2.420000E+01 1.000000E+00 0.000000E+00
2.430000E+01 1.000000E+00 0.000000E+00
2.440000E+01 1.000000E+00 -8.881784E-15
2.450000E+01 1.000000E+00 6.661338E-15
2.460000E+01 1.000000E+00 6.661338E-15
2.470000E+01 1.000000E+00 -4.440892E-15
2.480000E+01 1.000000E+00 -6.661338E-15
2.490000E+01 1.000000E+00 6.661338E-15
2.500000E+01 1.000000E+00 -6.661338E-15
2.510000E+01 1.000000E+00 2.220446E-15
2.520000E+01 1.000000E+00 2.220446E-15
2.530000E+01 1.000000E+00 0.000000E+00
2.540000E+01 1.000000E+00 0.000000E+00
2.550000E+01 1.000000E+00 0.000000E+00
2.560000E+01 1.000000E+00 -2.220446E-15
2.570000E+01 1.000000E+00 -2.220446E-15
2.580000E+01 1.000000E+00 1.110223E-14
2.590000E+01 1.000000E+00 -2.220446E-15
2.600000E+01 1.000000E+00 -1.332268E-14
2.610000E+01 1.000000E+00 1.110223E-14
2.620000E+01 1.000000E+00 -2.220446E-15
2.630000E+01 1.000000E+00 6.661338E-15
2.640000E+01 1.000000E+00 -1.332268E-14
2.650000E+01 1.000000E+00 8.881784E-15
2.660000E+01 1.000000E+00 -6.661338E-15
2.670000E+01 1.000000E+00 0.000000E+00
2.680000E+01 1.000000E+00 4.440892E-15
2.690000E+01 1.000000E+00 1.110223E-14
2.700000E+01 1.000000E+00 -2.220446E-15
2.710000E+01 1.000000E+00 -1.110223E-14
2.720000E+01 1.000000E+00 0.000000E+00
2.730000E+01 1.000000E+00 -4.440892E-15
